duid,district,lon,lat,height_m,storeys,current_name,proposed_name,grade,name_source,agreeing_sources,confidence,match_distance_m,inside_footprint,method,developer,project,changed
DXB-SAMAAL-63d711ac70,samaaljadaf,55.334536,25.222736,47.6,14,FORM Hotel Dubai,FORM Hotel Dubai,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-64c4d33ac3,samaaljadaf,55.33484,25.221577,30.6,9,,BARAJEEL Residency,MATCHED,places,places,0.7,0.0,True,place search on the footprint centroid (apartment_building),,,True
DXB-SAMAAL-1d003f4cb7,samaaljadaf,55.334309,25.222008,40.8,12,,Nawaem al sham ladies salon (branch),MATCHED,places,places,0.7,0.0,True,place search on the footprint centroid (beauty_salon),,,True
DXB-SAMAAL-a8d130ad23,samaaljadaf,55.331921,25.221441,30.6,9,Premier Inn Dubai Al Jaddaf,Premier Inn Dubai Al Jaddaf,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-dfe2d4f123,samaaljadaf,55.331402,25.22161,44.2,13,Al Jaddaf Residence,Al Jaddaf Residence,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-8423c39f2f,samaaljadaf,55.331309,25.219591,37.4,11,Al Khayal Building,Al Khayal Building,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-a66945c684,samaaljadaf,55.334687,25.221263,30.6,9,,Kindred Klothing,MATCHED,places,places,0.7,0.0,True,place search on the footprint centroid (clothing_store),,,True
DXB-SAMAAL-ce92bc5d89,samaaljadaf,55.334462,25.220964,40.8,12,Goldstate Hotel,Goldstate Hotel,MATCHED,osm_en,osm_en,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-e962e1821c,samaaljadaf,55.334235,25.220731,34.0,10,,M3 al jaddaf,MATCHED,places,places,0.7,0.0,True,place search on the footprint centroid (apartment_building),,,True
DXB-SAMAAL-be3ba55e20,samaaljadaf,55.323092,25.218106,47.6,14,Barceló Al Jaddaf,Barceló Al Jaddaf,MATCHED,overture,overture,0.85,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-ce4ddd1e63,samaaljadaf,55.343908,25.220896,23.8,7,Mohammed bin Rashid Library,Mohammed bin Rashid Library,MATCHED,osm_en,osm_en,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-f18045440f,samaaljadaf,55.340185,25.226826,3.2,1,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-f04e9e596d,samaaljadaf,55.340445,25.226703,3.2,1,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-b6be8ad212,samaaljadaf,55.340431,25.226066,3.2,1,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-e2af4d5f57,samaaljadaf,55.339185,25.22515,3.2,1,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-4ebb60f0b2,samaaljadaf,55.338993,25.224953,3.2,1,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-77e24db1ce,samaaljadaf,55.337879,25.22527,34.0,10,,Dutco Creek Residence,MATCHED,places,places,0.7,0.0,True,place search on the footprint centroid (apartment_building),,,True
DXB-SAMAAL-be681ab982,samaaljadaf,55.339911,25.224121,68.0,18,Riah Towers,Riah Towers,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-7e66e63d05,samaaljadaf,55.328757,25.224464,51.0,15,Noor al Safa,Noor al Safa,MATCHED,osm_en,osm_en,0.9,0.0,True,carried on the footprint by build_anchors,,,False
